,KIND_OF_CONDITION_ID,IS_RECORD_DELETED,NAME,EXTENSION_TABLE_NAME,RECORD_INSERTION_TIME,RECORD_INSERTION_USER,RECORD_LASTUPDATE_TIME,RECORD_LASTUPDATE_USER,COMMENT_DESCRIPTION,CATEGORY_NAME
61,16680,F,SiPM HGCROC Pedestal Run,HGCROC_PEDESTAL_RUN,2022-06-22 06:16:03,Umesh,2022-06-22 06:17:52,CMS_HGC_CORE_COND,SiPM HGCROC Pedestal Run,
62,16700,F,HD HGCROC Median pedestal Inv Vref,HGCROC_VREF,2022-06-22 07:48:57,Umesh,,,HGCROC Pedestal Run Inv Vref,
63,16720,F,HD HGCROC Median pedestal NoInv Vref,HGCROC_VREF,2022-06-22 07:48:57,Umesh,,,HGCROC Pedestal Run NoInv Vref,
64,16740,F,LD HGCROC Median pedestal Inv Vref,HGCROC_VREF,2022-06-22 07:48:57,Umesh,,,HGCROC Pedestal Run Inv Vref,
65,16760,F,LD HGCROC Median pedestal NoInv Vref,HGCROC_VREF,2022-06-22 07:48:57,Umesh,,,HGCROC Pedestal Run NoInv Vref,
66,16780,F,SiPM HGCROC Median pedestal Inv Vref,HGCROC_VREF,2022-06-22 07:48:57,Umesh,,,HGCROC Pedestal Run Inv Vref,
67,16800,F,SiPM HGCROC Median pedestal NoInv Vref,HGCROC_VREF,2022-06-22 07:48:57,Umesh,,,HGCROC Pedestal Run NoInv Vref,
68,7920,F,HGC PQC Van Der Pauw N,HGC_PQC_VAN_DER_PAUW,2020-10-27 23:41:46,Umesh,,,HGC PQC Van Der Pauw N,
69,7940,F,HGC PQC Van Der Pauw PEdge,HGC_PQC_VAN_DER_PAUW,2020-10-27 23:41:46,Umesh,,,HGC PQC Van Der Pauw PEdge,
70,7960,F,HGC PQC Van Der Pauw PStop,HGC_PQC_VAN_DER_PAUW,2020-10-27 23:41:47,Umesh,,,HGC PQC Van Der Pauw PStop,
71,7980,F,HGC PQC Linewidth N,HGC_PQC_LINEWIDTH,2020-10-28 00:28:10,Umesh,,,HGC PQC Linewidth N,
72,8000,F,HGC PQC Linewidth PEdge,HGC_PQC_LINEWIDTH,2020-10-28 00:28:10,Umesh,,,HGC PQC Linewidth PEdge,
73,8020,F,HGC PQC Linewidth PStop,HGC_PQC_LINEWIDTH,2020-10-28 00:28:10,Umesh,,,HGC PQC Linewidth PStop,
74,8040,F,HGC PQC Oxide Breakdown,HGC_PQC_OXIDE_BREAKDOWN,2020-10-28 01:10:17,Umesh,,,HGC PQC Oxide Breakdown,
75,4240,F,HGC Six Inch Module Assembly,HGC_MOD_ASMBLY,2018-12-01 21:02:54,Umesh,2020-03-07 11:34:57,CMS_HGC_CORE_COND,HGC Six Inch Module Assembly,CONFIGURATION
